,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,No_of_Votes,Gross,Dir_class,IsScored,Cast_class
0,1994,0,142,0,9.3,2343.11,28.341469,0,True,0
1,1972,0,175,1,9.2,1620.367,134.966411,0,True,0
2,2008,1,152,0,9.0,2303.232,534.858444,2,True,3
3,1974,0,202,1,9.0,1129.952,57.3,0,True,0
4,1957,2,96,1,9.0,689.845,4.359999999999999,0,True,0
5,2003,2,201,0,8.9,1642.758,377.84590499999996,1,True,1
6,1994,0,154,1,8.9,1826.188,107.92876199999999,0,True,0
7,1993,0,195,2,8.9,1213.505,96.89881799999999,3,True,0
8,2010,1,148,2,8.8,2067.042,292.576195,3,True,2
9,1999,0,139,0,8.8,1854.74,37.030102,1,True,1
10,2001,2,178,0,8.8,1661.481,315.54474999999996,0,True,0
11,1994,1,142,1,8.8,1809.221,330.252182,2,True,0
12,1966,0,161,0,8.8,688.39,6.1,1,True,0
13,2002,1,179,0,8.7,1485.555,342.551365,0,True,0
14,1999,0,136,1,8.7,1676.426,171.47993,0,True,0
15,1990,0,146,1,8.7,1020.727,46.836394,3,True,2
16,1980,1,124,2,8.7,1159.315,290.47506699999997,0,True,0
17,1975,0,133,0,8.7,918.088,112.0,0,True,0
19,2019,0,132,0,8.6,552.778,53.367844,1,True,0
21,2014,1,169,0,8.6,1512.3600000000001,188.020017,3,True,0
22,2002,0,130,1,8.6,699.256,7.563396999999999,0,True,0
23,2001,2,125,2,8.6,651.376,10.055859,3,True,0
24,1998,0,169,1,8.6,1235.804,216.540909,3,True,1
25,1999,0,189,0,8.6,1147.794,136.80137399999998,0,True,1
26,1997,2,116,0,8.6,623.629,57.598247,0,True,0
27,1995,0,127,1,8.6,1445.096,100.125643,0,True,0
28,1991,0,118,1,8.6,1270.1970000000001,130.742922,0,True,0
29,1977,1,121,2,8.6,1231.473,322.74014,0,True,0
31,1954,2,207,0,8.6,315.744,0.269061,1,True,0
33,2019,0,122,1,8.5,939.2520000000001,335.451311,0,True,3
34,2014,0,106,1,8.5,717.585,13.091999999999999,0,True,0
35,2011,1,112,0,8.5,760.36,13.182281,0,True,0
36,2006,2,130,0,8.5,1190.259,53.089890999999994,1,True,2
37,2006,0,151,1,8.5,1189.7730000000001,132.384315,3,True,3
38,2002,0,150,1,8.5,729.6030000000001,32.572576999999995,3,True,0
